x	rhoN2	rhoO2	rhoNO	rhoN	rhoO	u	T	Tv
0.656250	0.000788	0.000243	-0.000000	-0.000000	0.000000	3436.099909	564.606323	350.010415
0.663750	0.000774	0.000239	-0.000000	-0.000000	0.000000	3437.268597	560.716827	350.010547
0.671250	0.000759	0.000234	-0.000000	-0.000000	0.000000	3438.470192	556.716434	350.010671
0.678750	0.000745	0.000230	-0.000000	-0.000000	0.000000	3439.702560	552.612139	350.010788
0.686250	0.000730	0.000225	-0.000000	-0.000000	0.000000	3440.963580	548.410900	350.010897
0.693750	0.000715	0.000221	-0.000000	-0.000000	0.000000	3442.251149	544.119617	350.010999
0.701250	0.000700	0.000216	-0.000000	-0.000000	0.000000	3443.563194	539.745110	350.011094
0.708750	0.000685	0.000211	-0.000000	-0.000000	0.000000	3444.897672	535.294096	350.011182
0.716250	0.000670	0.000207	-0.000000	-0.000000	0.000000	3446.252581	530.773175	350.011263
0.723750	0.000655	0.000202	-0.000000	-0.000000	0.000000	3447.625959	526.188813	350.011338
0.731250	0.000640	0.000197	-0.000000	-0.000000	0.000000	3449.015893	521.547326	350.011407
0.738750	0.000625	0.000193	-0.000000	-0.000000	0.000000	3450.420522	516.854866	350.011470
0.746250	0.000610	0.000188	-0.000000	-0.000000	0.000000	3451.838039	512.117416	350.011527
0.753750	0.000595	0.000183	-0.000000	-0.000000	0.000000	3453.266694	507.340771	350.011580
0.761250	0.000580	0.000179	-0.000000	-0.000000	0.000000	3454.704798	502.530537	350.011628
0.768750	0.000566	0.000174	-0.000000	-0.000000	0.000000	3456.150724	497.692124	350.011671
0.776250	0.000551	0.000170	-0.000000	-0.000000	0.000000	3457.602906	492.830737	350.011709
0.783750	0.000537	0.000166	-0.000000	-0.000000	0.000000	3459.059845	487.951373	350.011744
0.791250	0.000523	0.000161	-0.000000	-0.000000	0.000000	3460.520105	483.058823	350.011776
0.798750	0.000509	0.000157	-0.000000	-0.000000	0.000000	3461.982317	478.157663	350.011804
0.806250	0.000496	0.000153	-0.000000	-0.000000	0.000000	3463.445177	473.252261	350.011828
0.813750	0.000482	0.000149	-0.000000	-0.000000	0.000000	3464.907445	468.346772	-210.987288
0.821250	0.000469	0.000145	-0.000000	-0.000000	0.000000	3466.367947	463.445142	-210.987285
0.828750	0.000456	0.000141	0.000000	-0.000000	0.000000	3467.825570	458.551110	-210.987283
0.836250	0.000443	0.000137	0.000000	-0.000000	0.000000	3469.279268	453.668212	-210.987280
0.843750	0.000431	0.000133	0.000000	-0.000000	0.000000	3470.728053	448.799779	-210.987278
0.851250	0.001132	0.000348	0.000000	0.000000	0.000001	1562.481188	5458.710526	1733.668784
0.858750	0.002404	0.000724	0.000002	0.000000	0.000016	641.027896	5638.259694	3694.579047
0.866250	0.002805	0.000803	0.000011	0.000000	0.000057	519.360865	5110.818295	4509.984209
0.873750	0.003038	0.000820	0.000030	0.000000	0.000106	452.953625	4851.584416	4647.515820
0.881250	0.003155	0.000804	0.000055	0.000001	0.000148	417.926270	4699.534425	4578.622678
0.888750	0.003236	0.000781	0.000082	0.000001	0.000185	393.677969	4573.265615	4500.180891
0.896250	0.003308	0.000760	0.000110	0.000001	0.000217	372.384631	4461.581376	4435.520806
0.903750	0.003373	0.000741	0.000139	0.000001	0.000246	353.051904	4366.035709	4375.111297
0.911250	0.003430	0.000722	0.000166	0.000001	0.000271	335.682222	4285.711012	4315.194172
0.918750	0.003478	0.000704	0.000192	0.000001	0.000294	320.064587	4217.755756	4257.076771
0.926250	0.003520	0.000688	0.000217	0.000001	0.000314	305.892778	4159.767271	4201.884895
0.933750	0.003558	0.000672	0.000239	0.000001	0.000332	292.914009	4109.652065	4150.598388
0.941250	0.003591	0.000659	0.000259	0.000001	0.000348	280.921691	4065.737046	4103.792350
0.948750	0.003621	0.000646	0.000277	0.000001	0.000363	269.757899	4026.820618	4061.493358
0.956250	0.003649	0.000634	0.000293	0.000001	0.000377	259.307430	3992.050010	4023.388447
0.963750	0.003674	0.000624	0.000308	0.000001	0.000390	249.484181	3960.791514	3989.043267
0.971250	0.003697	0.000614	0.000320	0.000001	0.000402	240.220417	3932.547687	3958.019073
0.978750	0.003719	0.000605	0.000331	0.000001	0.000413	231.460513	3906.915064	3929.909119
